"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Uomini";"Donne"
"Decisamente sì";"35,3";"35,0";"35,6"
"Più sì che no";"40,3";"39,3";"41,6"
"Più no che sì";"20,5";"21,1";"19,6"
"Decisamente no";"2,9";"3,5";"1,9"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"31,8";"36,2";"26,0"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Uomini";"Donne"
"Sono complessivamente soddisfatti del corso di laurea magistrale (%)";"";"";""
"Decisamente sì";"47,0";"47,7";"46,2"
"Più sì che no";"43,7";"43,3";"44,2"
"Più no che sì";"7,0";"6,8";"7,2"
"Decisamente no";"1,2";"1,3";"1,1"
"Sono complessivamente soddisfatti delle attivita' didattiche (lezioni, esercitazioni, simulazioni, ...) (%)";"";"";""
"Decisamente sì";"35,5";"35,9";"34,9"
"Più sì che no";"53,2";"53,0";"53,5"
"Più no che sì";"7,6";"7,8";"7,5"
"Decisamente no";"1,0";"1,1";"0,8"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";"";"";""
"Decisamente sì";"32,5";"33,1";"31,7"
"Più sì che no";"57,2";"56,3";"58,4"
"Più no che sì";"8,4";"8,7";"8,1"
"Decisamente no";"0,9";"1,1";"0,8"
"Sono soddisfatti dei rapporti con gli studenti (%)";"";"";""
"Decisamente sì";"57,2";"59,1";"54,6"
"Più sì che no";"34,7";"33,0";"37,0"
"Più no che sì";"5,9";"5,7";"6,0"
"Decisamente no";"1,3";"1,3";"1,2"
"Hanno utilizzato le aule (%)";"97,7";"97,8";"97,5"
"Valutazione delle aule (per 100 fruitori)";"";"";""
"Sempre o quasi sempre adeguate";"34,5";"34,7";"34,4"
"Spesso adeguate";"49,6";"49,7";"49,4"
"Raramente adeguate";"13,9";"13,7";"14,3"
"Mai adeguate";"1,9";"1,9";"1,9"
"Hanno utilizzato le postazioni informatiche (%)";"68,6";"71,5";"64,9"
"Non le hanno utilizzate nonostante fossero presenti";"22,1";"20,8";"23,9"
"Non le hanno utilizzate in quanto non presenti";"8,8";"7,3";"10,7"
"Valutazione delle postazioni informatiche (per 100 fruitori)";"";"";""
"In numero adeguato";"68,2";"69,4";"66,6"
"In numero inadeguato";"31,8";"30,6";"33,4"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%)";"68,3";"66,9";"70,2"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)";"";"";""
"Decisamente positiva";"43,9";"43,4";"44,4"
"Abbastanza positiva";"48,5";"48,5";"48,5"
"Abbastanza negativa";"5,4";"5,6";"5,2"
"Decisamente negativa";"2,2";"2,4";"1,8"
"Hanno utilizzato le attrezzature per le altre attivita' didattiche (laboratori, attivita' pratiche, ...) (%)";"85,1";"85,0";"85,3"
"Valutazione delle attrezzature per le altre attivita' didattiche (laboratori, attivita' pratiche, …) (per 100 fruitori)";"";"";""
"Sempre o quasi sempre adeguate";"35,2";"35,6";"34,6"
"Spesso adeguate";"45,9";"45,5";"46,4"
"Raramente adeguate";"15,9";"15,8";"16,1"
"Mai adeguate";"3,0";"3,1";"3,0"
"Hanno utilizzato gli spazi dedicati allo studio individuale (%)";"76,9";"78,0";"75,3"
"Non li hanno utilizzati nonostante fossero presenti";"17,6";"17,3";"18,1"
"Non li hanno utilizzati in quanto non presenti";"4,9";"4,2";"5,9"
"Valutazione degli spazi dedicati allo studio individuale (per 100 fruitori)";"";"";""
"Adeguati";"56,3";"55,3";"57,7"
"Inadeguati";"43,7";"44,7";"42,3"
"Hanno usufruito dei servizi di orientamento allo studio post-laurea (%)";"63,4";"62,4";"64,7"
"Sono soddisfatti dei servizi di orientamento allo studio post-laurea (per 100 fruitori)";"";"";""
"Decisamente sì";"22,9";"24,3";"21,2"
"Più sì che no";"41,0";"41,8";"40,0"
