ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;LAU
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;09;Health and welfare;M;60
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;10;Services;F;20
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;10;Services;M;62
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;01;Education;F;296
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;01;Education;M;13
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;02;Arts and humanities;F;20
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;02;Arts and humanities;M;2
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;263
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;125
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;F;63
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;M;23
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;376
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;236
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;01;Education;F;7
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;02;Arts and humanities;F;6
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;03;Social sciences, journalism and information;F;1
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;03;Social sciences, journalism and information;M;4
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;04;Business, administration and law;F;2
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;04;Business, administration and law;M;1
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;F;1
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;F;140
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;M;103
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;F;43
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;M;64
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;07;Engineering, manufacturing and construction;F;1042
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;07;Engineering, manufacturing and construction;M;2358
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;F;35
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;M;21
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;7
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;5
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;07;Engineering, manufacturing and construction;F;1350
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;07;Engineering, manufacturing and construction;M;2790
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;F;100
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;M;33
