ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;ISC
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;53706
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;10;Services;F;36
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;10;Services;M;9
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;01;Education;F;803
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;01;Education;M;49
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;02;Arts and humanities;F;1910
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;02;Arts and humanities;M;514
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;03;Social sciences, journalism and information;F;772
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;03;Social sciences, journalism and information;M;426
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;04;Business, administration and law;F;2526
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;04;Business, administration and law;M;1572
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;F;454
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;M;310
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;06;Information and Communication Technologies (ICTs);F;22
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;06;Information and Communication Technologies (ICTs);M;66
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;07;Engineering, manufacturing and construction;F;388
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;07;Engineering, manufacturing and construction;M;1140
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;08;Agriculture, forestry, fisheries and veterinary;F;124
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;08;Agriculture, forestry, fisheries and veterinary;M;120
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;09;Health and welfare;F;948
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;09;Health and welfare;M;570
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;10;Services;F;14
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;10;Services;M;8
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;08;Agriculture, forestry, fisheries and veterinary;F;12
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;1455
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;F;2691
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;02;Arts and humanities;F;166
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;10;Services;M;2
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;01;Education;F;83
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;07;Engineering, manufacturing and construction;M;17
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;09;Health and welfare;F;60
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;M;1936
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;01;Education;M;72
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;M;1027
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;M;1066
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;F;20
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;870
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;02;Arts and humanities;M;52
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;08;Agriculture, forestry, fisheries and veterinary;F;847
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;01;Education;F;445
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;04;Business, administration and law;M;80
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;09;Health and welfare;F;3537
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;09;Health and welfare;F;597
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;M;4850
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;07;Engineering, manufacturing and construction;F;14
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;03;Social sciences, journalism and information;M;1
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;F;4584
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;10;Services;F;99
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;F;954
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;09;Health and welfare;M;52
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;2717
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;3608
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;M;2427
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;01;Education;F;1884
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;01;Education;M;151
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;1227
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;02;Arts and humanities;F;114
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;03;Social sciences, journalism and information;M;60
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;01;Education;M;1
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;F;674
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;10;Services;F;1229
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;1111
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;F;2592
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;M;16
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;06;Information and Communication Technologies (ICTs);M;6
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;10;Services;M;235
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;F;6237
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;M;3045
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;56
